phase,gradient,G
0.0,10.0,12.781245863425955
0.0,12.5,14.139809759371143
0.0,15.0,15.497574746821993
0.0,17.5,16.854578703700923
0.0,20.0,18.210951583154564
2.3076923076923075,10.0,12.777817937069251
2.3076923076923075,12.5,14.133296736428912
2.3076923076923075,15.0,15.487547775296596
2.3076923076923075,17.5,16.84064030336244
2.3076923076923075,20.0,18.19273510206515
4.615384615384615,10.0,12.765533701939
4.615384615384615,12.5,14.115837285643117
4.615384615384615,15.0,15.46434198008324
4.615384615384615,17.5,16.811370235370536
4.615384615384615,20.0,18.157004561342433
6.9230769230769225,10.0,12.744537432598705
6.9230769230769225,12.5,14.08739268464962
6.9230769230769225,15.0,15.428097468235704
6.9230769230769225,17.5,16.76676622341965
6.9230769230769225,20.0,18.10391028462989
9.23076923076923,10.0,12.714862406283672
9.23076923076923,12.5,14.048167290268365
9.23076923076923,15.0,15.378825212365717
9.23076923076923,17.5,16.707170415478505
9.23076923076923,20.0,18.03350768767712
11.538461538461537,10.0,12.676561814682875
11.538461538461537,12.5,13.998333933334695
11.538461538461537,15.0,15.31680031394405
11.538461538461537,17.5,16.632663539455184
11.538461538461537,20.0,17.94614606596052
13.846153846153845,10.0,12.629793286339272
13.846153846153845,12.5,13.937815372713757
13.846153846153845,15.0,15.242106935022099
13.846153846153845,17.5,16.54341981466138
13.846153846153845,20.0,17.84196713518054
16.153846153846153,10.0,12.574692157569514
16.153846153846153,12.5,13.866887451720817
16.153846153846153,15.0,15.154979523358527
16.153846153846153,17.5,16.43958571463972
16.153846153846153,20.0,17.721266975820633
18.46153846153846,10.0,12.511290653612248
18.46153846153846,12.5,13.78570430832827
18.46153846153846,15.0,15.055519772978537
18.46153846153846,17.5,16.32150270849146
18.46153846153846,20.0,17.584238342429362
20.769230769230766,10.0,12.43980851954533
20.769230769230766,12.5,13.694485327491154
20.769230769230766,15.0,14.944003098703444
20.769230769230766,17.5,16.1893884602809
20.769230769230766,20.0,17.43128982383819
23.076923076923073,10.0,12.360332286455908
23.076923076923073,12.5,13.593333599296884
23.076923076923073,15.0,14.820763609784587
23.076923076923073,17.5,16.04362944542043
23.076923076923073,20.0,17.26263857719361
25.384615384615383,10.0,12.27310217903738
25.384615384615383,12.5,13.482493521726946
25.384615384615383,15.0,14.685922699309005
25.384615384615383,17.5,15.884443172827623
25.384615384615383,20.0,17.078712537468117
27.69230769230769,10.0,12.178194238633317
27.69230769230769,12.5,13.36224330664787
27.69230769230769,15.0,14.539804380464604
27.69230769230769,17.5,15.712097740975892
27.69230769230769,20.0,16.879873700165568
29.999999999999996,10.0,12.075902969643023
29.999999999999996,12.5,13.232707454145777
29.999999999999996,15.0,14.382726033007167
29.999999999999996,17.5,15.527053222158761
29.999999999999996,20.0,16.666596594419545
32.30769230769231,10.0,11.966301076221303
32.30769230769231,12.5,13.09418943945506
32.30769230769231,15.0,14.214937353337227
32.30769230769231,17.5,15.32961226481453
32.30769230769231,20.0,16.43925337008548
34.61538461538461,10.0,11.849693393175667
34.61538461538461,12.5,12.947056350595986
34.61538461538461,15.0,14.03686455825112
34.61538461538461,17.5,15.120236414531112
34.61538461538461,20.0,16.19826439560172
36.92307692307692,10.0,11.726317947230777
36.92307692307692,12.5,12.79148217261968
36.92307692307692,15.0,13.84874484289113
36.92307692307692,17.5,14.899325518832555
36.92307692307692,20.0,15.944189396201196
39.230769230769226,10.0,11.596330906671287
39.230769230769226,12.5,12.627831839332659
39.230769230769226,15.0,13.650985257508053
39.230769230769226,17.5,14.667254665683688
39.230769230769226,20.0,15.677493854005363
41.53846153846153,10.0,11.459963183108764
41.53846153846153,12.5,12.456370332209188
41.53846153846153,15.0,13.44406511082029
41.53846153846153,17.5,14.424533651331666
41.53846153846153,20.0,15.398741314138908
43.84615384615384,10.0,11.31752552062373
43.84615384615384,12.5,12.277386149508935
43.84615384615384,15.0,13.228252332946841
43.84615384615384,17.5,14.17153247752923
43.84615384615384,20.0,15.108440942079001
46.153846153846146,10.0,11.16928244783623
46.153846153846146,12.5,12.09128447470521
46.153846153846146,15.0,13.004026599226165
46.153846153846146,17.5,13.908942509892151
46.153846153846146,20.0,14.807113437017886
48.46153846153846,10.0,11.01546354064291
48.46153846153846,12.5,11.898365388872078
48.46153846153846,15.0,12.771746898623018
48.46153846153846,17.5,13.637054761051042
48.46153846153846,20.0,14.495458482989507
50.76923076923077,10.0,10.856351456173806
50.76923076923077,12.5,11.698968053863892
50.76923076923077,15.0,12.531902634458246
50.76923076923077,17.5,13.356535225085807
50.76923076923077,20.0,14.17403737261309
53.07692307692307,10.0,10.692171849848119
53.07692307692307,12.5,11.493515986320604
53.07692307692307,15.0,12.284938047501724
53.07692307692307,17.5,13.067871021059055
53.07692307692307,20.0,13.843468221125818
55.38461538461538,10.0,10.523346556495524
55.38461538461538,12.5,11.282306643340098
55.38461538461538,15.0,12.03130647198026
55.38461538461538,17.5,12.771582425476446
55.38461538461538,20.0,13.50435777706345
57.692307692307686,10.0,10.350022396922304
57.692307692307686,12.5,11.06578926825591
57.692307692307686,15.0,11.771452996273823
57.692307692307686,17.5,12.468299915950556
57.692307692307686,20.0,13.157445795252656
59.99999999999999,10.0,10.172594022107575
59.99999999999999,12.5,10.84436413895195
59.99999999999999,15.0,11.505869780732189
59.99999999999999,17.5,12.15850359307389
59.99999999999999,20.0,12.80339565876744
62.3076923076923,10.0,9.991368483517295
62.3076923076923,12.5,10.618332179324145
62.3076923076923,15.0,11.235108178703989
62.3076923076923,17.5,11.842923491582285
62.3076923076923,20.0,12.442844035339872
64.61538461538461,10.0,9.806618984820712
64.61538461538461,12.5,10.388171078095432
64.61538461538461,15.0,10.959552830413061
64.61538461538461,17.5,11.52205744431184
64.61538461538461,20.0,12.076619117515781
66.92307692307692,10.0,9.618662124767477
66.92307692307692,12.5,10.154241748294275
66.92307692307692,15.0,10.67986396766905
66.92307692307692,17.5,11.196564579461885
66.92307692307692,20.0,11.705420650638482
69.23076923076923,10.0,9.42779738899746
69.23076923076923,12.5,9.91700376364405
69.23076923076923,15.0,10.3964104950187
69.23076923076923,17.5,10.867085800885325
69.23076923076923,20.0,11.32995149762783
71.53846153846153,10.0,9.234428209314412
71.53846153846153,12.5,9.67681908541159
71.53846153846153,15.0,10.10980543760987
71.53846153846153,17.5,10.534232164072446
71.53846153846153,20.0,10.950999212548991
73.84615384615384,10.0,9.038823378272792
73.84615384615384,12.5,9.434167072953489
73.84615384615384,15.0,9.820544594463547
73.84615384615384,17.5,10.198680998156256
73.84615384615384,20.0,10.569367879652491
76.15384615384615,10.0,8.841275012237084
76.15384615384615,12.5,9.189484732560059
76.15384615384615,15.0,9.529146571307894
76.15384615384615,17.5,9.861065886139086
76.15384615384615,20.0,10.185896769223465
78.46153846153845,10.0,8.64215645582055
78.46153846153845,12.5,8.943086808398885
78.46153846153845,15.0,9.236215844105274
78.46153846153845,17.5,9.52210541270736
78.46153846153845,20.0,9.80133354757132
80.76923076923076,10.0,8.441760820130387
80.76923076923076,12.5,8.695525383447894
80.76923076923076,15.0,8.94222246503142
80.76923076923076,17.5,9.182449549154494
80.76923076923076,20.0,9.41656667117568
83.07692307692307,10.0,8.240421551237509
83.07692307692307,12.5,8.447142226276714
83.07692307692307,15.0,8.647797054897554
83.07692307692307,17.5,8.842750622692446
83.07692307692307,20.0,9.032398634762723
85.38461538461537,10.0,8.03849998565984
85.38461538461537,12.5,8.198406805952073
85.38461538461537,15.0,8.35342096288717
85.38461538461537,17.5,8.503794707409353
85.38461538461537,20.0,8.649813593966126
87.69230769230768,10.0,7.836231545109874
87.69230769230768,12.5,7.949694660530254
87.69230769230768,15.0,8.059648752748398
87.69230769230768,17.5,8.166248577632313
87.69230769230768,20.0,8.269662678829771
90.0,10.0,7.634028947428128
90.0,12.5,7.701495413589316
90.0,15.0,7.767059394310785
90.0,17.5,7.830813338038525
90.0,20.0,7.892860173364752
